"Numbering","Source","HusbandName","HusbandTribe","HusbandSubtribe1","HusbandSubtribe2","HusbandSubtribe3","HusbandSubtribe4","nonQurayshAffilation","HusbandGeneration","WifeName","WifeTribe","WifeSubtribe1","WifeSubtribe2","WifeSubtribe3","WifeSubtribe4","nonQurayshGeneology","WifeGeneration","Sons","Daughters","Geography","Notes1","Notes2","Notes3","Notes4","H Lat","H Lng","W Lat","W Lng"
408,"NQ65","عبد الرحمن بن القاسم بن اسحاق بن عبد الله بن جعفر بن على","Quraysh","Qusayy","Hashim","Ali",,,10,"خديجة بنت اسحاق بن عبد الله بن على بن الحسين بن على بن ابو طالب","Quraysh","Qusayy","Hashim","Ali","Husayn",,10,1,2,,,,,,,,,
409,"NQ66","زيد بن على بن الحسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,8,"ريطة بنت ابو هاشم/عبد الله بن محمد بن على","Quraysh","Qusayy","Hashim","Ali",,,8,1,,,"Son of this union killed in Khurasan",,,,,,,
410,"NQ66","زيد بن على بن الحسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,8,"Concubine",,,,,,,,3,,,"Son of these unions was the son of Zayd who became Mutaghayib in the reign of al-Mahdi",,,,,,,
411,"NQ66","يحيى بن زيد بن على بن الحسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,9,"محبة بنت عمرو بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,"7(9 - see note)",,1,,"Generational mismatch here; probably an error as Ali not listed as having a son called Amr (though he does have a son called Umar, and the sources seem to use both names with regards to him).  Muhabba is listed as a daughter of Umar b. Ali b. Husayn b. Ali b. Abu Talib on NQ72","Daughter name but no marriage behaviour - look her up",,,,,,
412,"NQ66","الحسين بن زيد بن على بن الحسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,9,"خديجة بنت عمر بن على بن حسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,9,1,2,,,,,,,,,
413,"NQ66","عمر بن على بن حسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,8,"Concubine",,,,,,,,,1,,"Matriline",,,,,,,
414,"NQ66","الحسين بن زيد بن على بن الحسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,9,"كلثم بنت عبد الله بن على بن الحسين بن على بن ابو طالب","Quraysh","Qusayy","Hashim","Ali","Husayn",,,1,3,,,,,,,,,
415,"NQ66","الحسين بن زيد بن على بن الحسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,9,"Concubines",,,,,,,,4,1,,,,,,,,,
416,"NQ66","محمد بن ابراهيم بن محمد بن على بن عبد الله بن العباس","Quraysh","Qusayy","Hashim","Abbasid",,,9,"فاطمة بنت حسين بن زيد بن على بن الحسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,10,1,2,,"Tawfi anha",,,,,,,
417,"NQ66","عيسى بن جعفر بن المنصور","Quraysh","Qusayy","Hashim","Abbasid",,,10,"فاطمة بنت حسين بن زيد بن على بن الحسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,10,,,,"No children mentioned; Khalaf and fariq","Grandson of Mansur",,,,,,
418,"NQ66","محمد بن محمد بن زيد بن على بن حسين بن على بن ابو طالب","Quraysh","Qusayy","Hashim","Ali","Husayn",,10,"كلثم بنت حسين بن زيد بن على بن الحسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,10,,,,"No children - tawfi anha qabl an yadkhal biha",,,,,,,
419,"NQ66","على بن الحسين بن على بن عمر بن على بن الحسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,11,"كلثم بنت حسين بن زيد بن على بن الحسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,10,,,,"Khalaf alayha",,,,,,,
420,"NQ67","الحسن بن عبد الله بن حسن بن جعفر بن حسن بن حسن بن على","Quraysh","Qusayy","Hashim","Ali","Hasan",,11,"ام الحسن بنت حسين بن زيد بن على بن الحسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,10,,,,"Kanat and",,,,,,,
421,"NQ67","عيسى بن زيد بن على بن الحسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,9,"عبدة بنت عمر بن على بن الحسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,9,2,1,,,,,,,,,
422,"NQ67","عمر بن على بن الحسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,8,"Concubine",,,,,,,,,1,,"Matriline",,,,,,,
423,"NQ67","عيسى بن زيد بن على بن الحسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,9,"Concubine",,,,,,,,1,3,,,,,,,,,
424,"NQ67","عيسى بن زيد بن على بن الحسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,9,"عاتكة بنت الفضل بن عبد الرحمن بن العباس بن ربيعة بن الحارث بن عبد المطلب","Quraysh","Qusayy","Hashim",,,,9,1,,,"Union produced Ahmad b. Isa al-Mukhtafi (the Hidden one). He died after Ibn al-Zubayri in 861.",,,,,,,
425,"NQ67","الفضل بن عبد الرحمن بن العباس بن ربيعة بن الحارث بن عبد المطلب","Quraysh","Qusayy","Hashim",,,,8,"Concubine",,,,,,,,,1,,"Matriline",,,,,,,
426,"NQ67","سليمان بن جعفر بن ابراهيم بن محمد بن على بن عبد الله بن جعفر بن ابو طالب","Quraysh","Qusayy","Hashim",,,,11,"زينب بنت عيسى بن زيد بن على بن الحسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,10,,,,"Kanat and",,,,,,,
427,"NQ67","الحسن بن على بن جعفر بن اسحاق بن على بن عبد الله بن جعفر بن ابو طالب","Quraysh","Qusayy","Hashim",,,,11,"زينب بنت عيسى بن زيد بن على بن الحسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,10,1,,,"Tawfiyat andhu",,,,,,,
428,"NQ71","على بن الحسين بن زيد بن على بن الحسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,10,"رقية  بنت عيسى بن زيد بن على بن الحسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,10,,2,,"Then fariqha",,,,,,,
429,"NQ71","جعفر بن الحسن بن على بن عمر بن على بن حسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,11,"رقية  بنت عيسى بن زيد بن على بن الحسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,10,1,1,,,,,,,,,
430,"NQ71","جعفر الاكبر بن حسن بن زيد بن على بن حسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,10,"فاطمة بنت عيسى بن زيد بن على بن الحسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,10,,,,"No children - tawfi qabl an yadkhal biha",,,,,,,
431,"NQ71","على بن حمزة بن القاسم بن حسن بن زيد بن حسن بن على","Quraysh","Qusayy","Hashim","Ali","Hasan",,11,"فاطمة بنت عيسى بن زيد بن على بن الحسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,10,,2,,"Tawfiyat andhu",,,,,,,
432,"NQ71","محمد بن زيد بن على بن حسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,9,"عنادة بنت خلف بن حفص بن عمر بن عمرو بن حريث بن عمرو بن عثمان بن عبد الله بن عمر بن مخزوم","Quraysh","Makhzum",,,,,10,3,1,,,,,,,,,
433,"NQ72","محمد بن زيد بن على بن حسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,9,"فاطمة بنت على بن جعفر بن اسحاق بن على بن عبد الله بن جعفر بن ابو طالب","Quraysh","Qusayy","Hashim",,,,11,1,2,,"Son invovled with Abu Saraya uprising (815 CE)",,,,,,,
434,"NQ72","الحسن بن حسين بن زيد بن على بن حسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,10,"فاطمة بنت محمد بن زيد بن على بن حسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,10,,,,"Husband killed with Abu Suraya","Expression used is 'WAliata…Li, which is unusual, followed by fakhalaf",,,,,,
435,"NQ72","محمد بن اسماعيل بن حسن بن زيد بن حسن ين على","Quraysh","Qusayy","Hashim","Ali","Hasan",,10,"فاطمة بنت محمد بن زيد بن على بن حسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,10,,,,"None mentioned - Khalaf alayha",,,,,,,
436,"NQ72","عمر بن على بن حسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,8,"ام موسى بنت عمر بن على","Quraysh","Qusayy","Hashim","Ali",,,7,2,1,,,,,,,,,
437,"NQ72","عمر بن على بن حسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,8,"Concubines",,,,,,,,3,2,,,,,,,,,
438,"NQ72","عمر بن على بن حسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,8,"ام اسحاق بنت محمد بن عبد الله بن الحارث بن نوفل بن الحارث بن عبد المطلب","Quraysh","Qusayy","Hashim",,,,9,1,,,,,,,,,,
439,"NQ72","على الاصغر بن عمر بن على بن حسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,9,"ام نوفل بنت عبد بن عمر بن نبية بن وهب بن عثمان بن ابو طلحة (بن عبد العزى بن عثمان بن عبد الدار بن قصى NQ252)","Quraysh","Qusayy","Abd al-Dar",,,,10,3,1,,"Tribe name elided to al-Abdari - this happens only twice in NQ",,,,,,,
440,"NQ72","على الاصغر بن عمر بن على بن حسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,9,"Concubines",,,,,,,,4,2,,,,,,,,,
441,"NQ72","موسى بن عمر بن على بن حسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,9,"عبيدة بنت الزبير بن هشام بن عروة بن الزبير بن العوام","Quraysh","Qusayy","Asad","zubayr",,,9,1,2,,,,,,,,,
442,"NQ72","محمد  بن عمر بن على بن حسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,9,"Concubine",,,,,,,,1,,,,,,,,,,
443,"NQ72","جعفر الاكبر بن عمر بن على بن حسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,9,"فاطمة بنت عروة بن هشام بن عروة بن الزبير","Quraysh","Qusayy","Asad","zubayr",,,9,1,,,,,,,,,,
444,"NQ72","على بن على بن الحسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,8,"Concubine",,,,,,,,1,,,,,,,,,,
445,"NQ72","على بن على بن الحسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,8,"ام ابيها بنت محمد بن على بن ابو طالب","Quraysh","Qusayy","Hashim","Ali",,,7,,1,,,,,,,,,
447,"NQ73","الحسن بن على بن على بن حسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,9,"Concubine",,,,,,,,5,4,,,,,,,,,
448,"NQ73","الحسن بن على بن على بن حسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,9,"جويرية بنت خالد بن ابو بكر بن عبيد الله بن عبد الله بن عمر بن الخطاب","Quraysh","Adi b. Ka'b",,,,,11,1,,,"Son involved in Abu Suraya uprising",,,,,,,
449,"NQ73","الحسن بن على بن على بن حسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,9,"ام سعيد بنت سعيد بن محمد بن جبير بن مطعم بن عدى بن نوفل بن عبد مناف","Quraysh","Qusayy","Nawfal",,,,8,1,1,,"Son imprisoned by Harun",,,,,,,
450,"NQ73","الحسين بن على بن حسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,8,"ام خالد بنت حمزة بن مصعب بن الزبير","Quraysh","Qusayy","Asad","zubayr",,,8,3,1,,,,,,,,,
451,"NQ73","الحسين بن على بن حسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,8,"Concubines",,,,,,,,2,1,,,,,,,,,
452,"NQ73","الحسين بن على بن حسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,8,"عبدة بنت داود بن ابو امامة بن سهل بن حنيف الانصارى (بن واهب الاسدى al-ansab al-mutafaqa)","Asad",,,,,,,2,,,"Ansar",,,,,,,
453,"NQ73","عبد الله بن الحسين بن على بن الحسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,9,"Concubine","Nubian",,,,,,,2,2,,"Conc origin named",,,,,,,
454,"NQ73","هارون الرشيد بن المهدى بن المنصور بن محمد بن على بن عبد الله بن العباس","Quraysh","Qusayy","Hashim","Abbasid",,,10,"زينب بنت عبد الله بن الحسين بن على بن الحسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,10,,,,"No children - was married to her for just one night",,,,,,,
455,"NQ74","عبد الله بن الحسين بن على بن الحسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,9,"ام عمرو بنت عمرو بن الزبير بن عمرو بن عمرو بن الزبير","Quraysh","Qusayy","Asad","zubayr",,,10,1,1,,,,,,,,,
456,"NQ74","عبد الله بن الحسين بن على بن الحسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,9,"Concubine",,,,,,,,1,,,,,,,,,,
457,"NQ74","عبيد الله بن الحسين بن على بن الحسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,9,"ام ابيها بنت عبد الله بن عبيد الله بن العباس بن على بن ابو طالب","Quraysh","Qusayy","Hashim","Ali",,,9,1,,,,,,,,,,
458,"NQ74","عبيد الله بن الحسين بن على بن الحسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,9,"Concubines",,,,,,,,2,1,,,,,,,,,
459,"NQ74","عبيد الله بن الحسين بن على بن الحسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,9,"ام عبيد الله بنت طلحة بن عمر بن عبيد الله بن معمر(بن عثمان بن عمرو بن كعب بن سعد بن تيم NQ 288)","Quraysh","Taym b. Murra",,,,,8,1,,,,,,,,,,
460,"NQ74","عبيد الله بن الحسين بن على بن الحسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,9,"حمادة بنت عبد الله بن صفوان بن عبد الله بن صفوان (بن امية بن خلف بن وهب بن خدافة بن جمح NQ386)","Quraysh","Jumah",,,,,9,1,1,,"Son produced gets a Shi'I title",,,,,,,
461,"NQ74","على بن الحسين بن على بن الحسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,9,"زينب بنت عون بن عبيد الله بن عبد الله بن الحارث بن نوفل (بن الحارث بن عبد المطلب)","Quraysh","Qusayy","Hashim",,,,10,4,3,,"Wife presumably not from Nawfal b. Abd Manaf - check",,,,,,,
462,"NQ74","محمد بن الحسين بن على بن الحسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,9,"ام كلثوم بنت اسماعيل بن عبد الله بن جعفر بن ابو طالب","Quraysh","Qusayy","Hashim",,,,8,1,1,,,,,,,,,
463,"NQ74","الحسن بن الحسين بن على بن الحسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,9,"خليدة بنت مروان بن عنبسة بن سعيد بن العاصى","Quraysh","Qusayy","Abd Shams","Umayyad",,,"8(10)",2,1,,"Problem with genealogy is that Said b. al-As repeats over four generations - could be 8 or ten. Check NQ section",,,,,,,
464,"NQ74","الحسن بن الحسين بن على بن الحسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,9,"Concubine",,,,,,,,1,,,,,,,,,,
465,"NQ75","يحيى بن الحسين بن على بن الحسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,9,"فاطمة بنت هشام بن ابراهيم بن ابراهيم بن عبد بن الاسود بن هشام بن عمرو (بن ربيعة بن الحارث بن حبيب بن جذيمة بن مالك بن حسل بن عامر بن لؤى NQ432)","Quraysh","Amir b. Lu'ayy",,,,,11,1,1,,"Very good alignment; 15 gens to Lu'ayy for her, 13 for him",,,,,,,
466,"NQ75","يحيى بن الحسين بن على بن الحسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,9,"Concubine",,,,,,,,1,,,,,,,,,,
467,"NQ75","يحيى بن الحسين بن على بن الحسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,9,"ام حكيم بنت محمد بن سليمان بن عاصم بن عمر بن الخطاب","Quraysh","Adi b. Ka'b",,,,,10,,1,,,,,,,,,
468,"NQ75","سليمان بن الحسين بن على بن الحسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,9,"Concubines",,,,,,,,2,,,,,,,,,,
469,"NQ75","ابراهيم بن الحسين بن على بن الحسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,9,"بريكة بنت عبيد الله بن محمد بن المنذر بن الزبير بن العوام","Quraysh","Qusayy","Asad","zubayr",,,9,2,2,,,,,,,,,
470,"NQ75","محمد بن على بن ابو طالب","Quraysh","Qusayy","Hashim","Ali",,,6,"Concubine",,,,,,,,4,,,"Concubine is named here - Na'ila","Son was Sahib of the Shi'I; this is the Abu Hashim who 'Awsi to Muhammad the Abbasid. On NQ77 we are told all his descendants died.",,,,,,
471,"NQ75","محمد بن على بن ابو طالب","Quraysh","Qusayy","Hashim","Ali",,,6,"جمال بنت قيس بن مخرمة بن المطلب بن عبد مناف بن قصى","Quraysh","Qusayy","Al-Muttalib",,,,5,1,,,,,,,,,,
472,"NQ75","سعيد بن الحارث بن الصمة بن عمرو بن عتيك من بنو نجار","Khazraj","Najjar",,,,,,"جمال بنت قيس بن مخرمة بن المطلب بن عبد مناف بن قصى","Quraysh","Qusayy","Al-Muttalib",,,,5,1,1,"Medina","Sibling relationship",,,,,,,
473,"NQ76","محمد بن على بن ابو طالب","Quraysh","Qusayy","Hashim","Ali",,,6,"الشهباء ام عبد الرحمن بنت عبد الرحمن بن نوفل (بن الحارث بن عبد المطلب NQ86)","Quraysh","Qusayy","Hashim",,,,7,2,4,,,,,,,,,
474,"NQ76","محمد بن على بن ابو طالب","Quraysh","Qusayy","Hashim","Ali",,,6,"مسرعة بنت عباد بن شيبان بن جابر بن اهيب بن نسيب بن زيد بن مالك من بنو مازن بن منصور","Qays Aylan","Mazin b. Mansur",,,,,,1,,,"Al-Jawhara Nasab al-Nabi gives links; Malik b. al-Harith b. Mazin b. Mansur b. Akrama b. Khafsab. Qays b. Aylan",,,,,,,
475,"NQ76","سليمان بن عطية بن دبية","Unknown",,,,,,,"مسرعة بنت عباد بن شيبان بن جابر بن اهيب بن نسيب بن زيد بن مالك من بنو مازن بن منصور","Qays Aylan","Mazin b. Mansur",,,,,,1,,,"Absolutely no references found to this husband or his son! One result from Sulayman b. Atiyya on maktaba shamela but the patriline seems wrong","Sibling relationship",,,,,,
476,"NQ76","محمد بن على بن ابو طالب","Quraysh","Qusayy","Hashim","Ali",,,6,"ام جعفر بنت محمد بن جعفر بن ابو طالب","Quraysh","Qusayy","Hashim",,,,7,2,,,,,,,,,,
477,"NQ76","ابو هاشم عبد الله بن محمد بن على","Quraysh","Qusayy","Hashim","Ali",,,7,"خلدة بنت علقمة بن الحويرث بن عبد الله بن خلف بن آبى اللحم من بنو غفار","Kinana","Ghifar",,,,,,2,,"Between Mecca and Medina (EI2, Ghifar)",,,,,,,,
478,"NQ76","ابو هاشم عبد الله بن محمد بن على","Quraysh","Qusayy","Hashim","Ali",,,7,"فاطمة بنت محمد بن عبيد الله بن العباس","Quraysh","Qusayy","Hashim","Abbasid",,,7,1,1,,"Marriage to an Abbasid; the father supposedly handed over his imamate to this family. Daughter or father's marriages not mentioned in the Abbasid section though",,,,,,,
479,"NQ76","ابو هاشم عبد الله بن محمد بن على","Quraysh","Qusayy","Hashim","Ali",,,7,"ام عثمان بنت ابو حدير بن عبدة بن معتب بن الجد بن عجلان من الانصار من البلى من قضاعة حلفاء بنو عمرو بن عوف","Bali",,,,,,,1,,"Medina (Ansar)","Ansari marriage; unusual in that multiple layers of tribal layering are provided",,,,,,,
480,"NQ76","ابو هاشم عبد الله بن محمد بن على","Quraysh","Qusayy","Hashim","Ali",,,7,"ام الحارث بنت الحارث بن نوفل بن الحارث (بن عبد المطلب)","Quraysh","Qusayy","Hashim",,,,7,,2,,,,,,,,,
481,"NQ76","عبيد الله بن على بن محمد بن على","Quraysh","Qusayy","Hashim","Ali",,,8,"لبابة بنت عبد الله بن محمد بن على","Quraysh","Qusayy","Hashim","Ali",,,8,,,,"None mentioned - Tawfi anha",,,,,,,
482,"NQ76","سعيد بن عبد الله بن عمرو بن سعيد بن العاصى بن امية","Quraysh","Qusayy","Abd Shams","Umayyad",,,8,"لبابة بنت عبد الله بن محمد بن على","Quraysh","Qusayy","Hashim","Ali",,,8,,,,"Lam TAli lahu and tawfi anha",,,,,,,
484,"NQ77","على بن محمد بن على","Quraysh","Qusayy","Hashim","Ali",,,7,"Concubines",,,,,,,,6,1,,,,,,,,,
485,"NQ77","جعفر بن اسحاق بن على بن عبد الله بن جعفر بن ابو طالب","Quraysh","Qusayy","Hashim",,,,9,"فاطمة بنت على بن محمد بن على","Quraysh","Qusayy","Hashim","Ali",,,8,1,,,,,,,,,,
486,"NQ77","الحسن بن على بن محمد بن على","Quraysh","Qusayy","Hashim","Ali",,,8,"لبابة بنت عبد الله بن محمد بن على","Quraysh","Qusayy","Hashim","Ali",,,8,1,,,"Also married spouse's brother; one other marriage also",,,,,,,
487,"NQ77","على بن الحسن بن على بن محمد بن على","Quraysh","Qusayy","Hashim","Ali",,,9,"علية بنت عون بن على بن محمد بن على","Quraysh","Qusayy","Hashim","Ali",,,9,1,,,,,,,,,,
488,"NQ77","محمد بن على بن محمد بن على","Quraysh","Qusayy","Hashim","Ali",,,8,"Concubine",,,,,,,,,1,,,,,,,,,
489,"NQ77","عون بن على بن محمد بن على","Quraysh","Qusayy","Hashim","Ali",,,8,"مهدية بنت عبد الرحمن بن عمر بن محمد بن مسلمة الانصارى","Aws","Haritha b. al-Harith",,,,"Muhammad b. Maslama was a prominent companion; tribal affiliation from him",,1,2,"Medina","Interesting - both father and son marry outside family into local nobility",,,,,,,
490,"NQ77","محمد بن عون بن على بن محمد بن على","Quraysh","Qusayy","Hashim","Ali",,,9,"صفية بنت محمد بن مصعب بن الزبير","Quraysh","Qusayy","Asad","zubayr",,,8,1,2,,"Interesting - both father and son marry outside family into local nobility",,,,,,,
491,"NQ77","القاسم بن محمد بن على","Quraysh","Qusayy","Hashim","Ali",,,7,"ام يعقوب بنت جعفر بن يعقوب بن عبد الله بن ربيعة بن الحارث بن عبد المطلب","Quraysh","Qusayy","Hashim",,,,9,2,1,,,,,,,,,
493,"NQ77","عبد العزيز بن سلمة بن عبد الله بن سلمة بن عمر بن ابو سلمة ( بن عبد الاسد بن هلال بن عبد الله بن عمر بن مخزوم)","Quraysh","Makhzum",,,,,10,"بريكة بنت القاسم بن محمد بن على","Quraysh","Qusayy","Hashim","Ali",,,8,,"1 (see note)",,"Daughter not named - just 'umratun'",,,,,,,
494,"NQ78","محمد بن القاسم بن محمد بن على","Quraysh","Qusayy","Hashim","Ali",,,8,"Concubines",,,,,,,,1,4,,,,,,,,,
495,"NQ78","عالى بن القاسم بن محمد بن على","Quraysh","Qusayy","Hashim","Ali",,,8,"ابنة المطلب بن عبد الله بن المطلب بن عبد الله بن المطلب بن حنطب","Quraysh","Makhzum",,,,,,,1,,,,,,,,,
496,"NQ78","ابراهيم بن محمد بن على  ","Quraysh","Qusayy","Hashim","Ali",,,7,"Concubine",,,,,,,,2,1,,,,,,,,,
497,"NQ78","ابراهيم بن محمد بن على  ","Quraysh","Qusayy","Hashim","Ali",,,7,"امامة بنت عبد الله بن سعيد بن خيثمة من الانصار","Aws","Ghanam b. al-Salam",,,,"Sa'd (not Sa'id) b. Khaythama was a companion of Muhammad's who produced a son called Abd Allah",,1,1,,"Daughter's name unusual - assumed to be feminine",,,,,,,
498,"NQ78","ابو بكر/ابن القلمس بن عثمان بن عبيد الله بن عبد الله بن عمر بن الخطاب","Quraysh","Adi b. Ka'b",,,,,10,"ام كلثوم بنت ابراهيم بن محمد بن على ","Quraysh","Qusayy","Hashim","Ali",,,8,1,,,"Kanat and",,,,,,,
499,"NQ78","محمد بن ابراهيم بن محمد بن على  ","Quraysh","Qusayy","Hashim","Ali",,,8,"Concubines",,,,,,,,2,,,,,,,,,,
500,"NQ78","جعفر الاصغر بن محمد بن على","Quraysh","Qusayy","Hashim","Ali",,,7,"Concubine",,,,,,,,1,,,,,,,,,,
501,"NQ78","عبد الله بن جعفر الاصغر بن محمد بن على","Quraysh","Qusayy","Hashim","Ali",,,8,"صفية بنت الغضبان بن يزيد من بنو انمار","Anmar",,,,,,,2,2,,"Unusual tribe - no EI entry though some sub-divisions and related tribes (Khath'am and Bajila)",,,,,,,
502,"NQ78","عبد الله بن جعفر الاصغر بن محمد بن على","Quraysh","Qusayy","Hashim","Ali",,,8,"امينة الكبرى بنت حسين بن على بن الحسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,9,1,,,,,,,,,,
503,"NQ78","عون بن محمد بن عاى","Quraysh","Qusayy","Hashim","Ali",,,7,"ام سعيد بنت سعيد بن زيد بن مالك من بنو عبد الاشهل","Aws","Abd al-Ashhal",,,,,,1,1,,,,,,,,,
504,"NQ78","يحيى بن محمد بن على بن عبد الله بن العباس","Quraysh","Qusayy","Hashim","Abbasid",,,8,"اسماء بنت عون بن محمد بن عاى","Quraysh","Qusayy","Hashim","Ali",,,8,,,,,,,,,,,
505,"NQ78","عون بن محمد بن عاى","Quraysh","Qusayy","Hashim","Ali",,,8,"Concubines",,,,,,,,2,4,,,,,,,,,
509,"NQ79","عبيد الله بن العباس بن على","Quraysh","Qusayy","Hashim","Ali",,,7,"ام ابيها بنت عبد الله بن معبد بن العباس","Quraysh","Qusayy","Hashim","Abbasid",,,7,1,1,,,,,,,,,
510,"NQ79","عبيد الله بن العباس بن على","Quraysh","Qusayy","Hashim","Ali",,,7,"Concubine",,,,,,,,1,,,,,,,,,,
512,"NQ79","الحسن بن عبيد الله بن العباس بن على","Quraysh","Qusayy","Hashim","Ali",,,8,"Concubines",,,,,,,,3,,,"Son was a companion of Harun",,,,,,,
513,"NQ79","الحسن بن عبيد الله بن العباس بن على","Quraysh","Qusayy","Hashim","Ali",,,8,"ام الحارث بنت الفضل بن عباس بن ربيعة بن الحارث بن عبد المطلب","Quraysh","Qusayy","Hashim",,,,8,3,,,"Son a supporter of the Abbasids, had appointments including governorship if Mecca","Harith b. Abd al-Muttalib family marry into Alis a lot - what's their story?",,,,,,
514,"NQ80","عمر بن على","Quraysh","Qusayy","Hashim","Ali",,,6,"اسماء بنت عقيل بن ابو طالب","Quraysh","Qusayy","Hashim",,,,6,2,1,,,,,,,,,
516,"NQ80","عمر بن محمج بن عمر بن على","Quraysh","Qusayy","Hashim","Ali",,,9,"None named",,,,,,,,,,,"Unusual - we are told he had children but NFI",,,,,,,
517,"NQ80","عبد الله بن محمد بن عمر بن على بن ابو طالب","Quraysh","Qusayy","Hashim","Ali",,,9,"Concubine",,,,,,,,2,,,,,,,,,,
518,"NQ80","عبد الله بن محمد بن عمر بن على بن ابو طالب","Quraysh","Qusayy","Hashim","Ali",,,9,"ام الحسين بنت عبد الله بن محمد بن على بن الحسين بن على","Quraysh","Qusayy","Hashim","Ali","Husayn",,10,2,1,,,,,,,,,
519,"NQ80","عبيد الله بن محمد بن عمر بن على بن ابو طالب","Quraysh","Qusayy","Hashim","Ali",,,9,"بنت الحسن بن الزبير بن الوليد بن سعيد بن نوفل بن الحارث بن عبد المطلب","Quraysh","Qusayy","Hashim",,,,10,2,,,,,,,,,,
521,"NQ80","جعفر بن ابو طالب","Quraysh","Qusayy","Hashim",,,,5,"اسماء بنت عميس بن معبد بن تيم بن مالك بن قحافة بن عامر بن ربيعة بن عامر بن معاوية بن زيد بن نسر بن وهب الله بن شهران بن عفرس بن حلف بن أفتل و هم جماع خثعم بن انمار","Anmar","Khatham",,,,,,3,,"Taif to Najran (EI2 Khath'am)","Interesting interjection here from Mus'ab - 'Khath'am is a mountain, not a genealogical link'","Long story on the son called 'Abd Allah, plus a death date of 80",,,,,,
