Numbering,Source,HusbandName,HusbandTribe ,HusbandSubtribe1,HusbandSubtribe2,HusbandSubtribe3,HusbandSubtribe4,Source for non-Qurashi tribal affiliation,HusbandGeneration ,WifeName,WifeTribe,WifeSubtribe1,WifeSubtribe2,WifeSubtribe3,WifeSubtribe4,Source for non-Qurashi genealogy,WifeGeneration,Sons,Daughters,H Lat,H Lng,W Lat,W Lng
1579,NQ301,____ __ _______ __ ___ ____ __ ___ __ _____ __ ____ __ ___ __ ___ __ ___ __ ____ __ ___,Quraysh,Makhzum,,,,,4,___ _____ __ ___ ____ __ ___ __ _____,Quraysh,Makhzum,,,,,4,1,,,,,
1705,NQ322,______ __ _______,Quraysh,Makhzum,,,,,4,___ ____ __ ___ ____ __ ___ __ _____,Quraysh,Makhzum,,,,,4,1,,,,,
1765,NQ338,____ __ ______ __ ____ __ ___ __ _____,Quraysh,Makhzum,,,,,4,____ ___ _______ __ ___ ____ __ ___ __ _____,Quraysh,Makhzum,,,,,4,1,,,,,
2177,NQ409,______ __ ____ __ ____ __ ____ __ ___,Quraysh,Sahm,,,,,4,__ _____ ___ ____ __ _______,Quraysh,Makhzum,,,,,5,1,,,,,
634,NQ100,___ ______ __ ____ ______ __ ___ ___,Quraysh,Qusayy,Umayyad,,,,4,____ ___ ______ __ ___ __ ____ __ ___ __ _____,Quraysh,Makhzum,,,,,5,2,1,,,,
1785,NQ343,______ __ _____ __ ____ __ _____ __ _____,Quraysh,Makhzum,,,,,4,____ ___ ___ __ ____ __ ____ __ ______ __ _____,Quraysh,Makhzum,,,,,5,4,1,,,,
1740,NQ333,___ ______ __ ____ __ ___ ____ __ ___ __ _____,Quraysh,Makhzum,,,,,4,____ ___ ____ __ _____ __ ___ ____ __ ___ __ _____,Quraysh,Makhzum,,,,,5,4,,,,,
935,NQ152,___ ______ __ ____ __ ___ ___,Quraysh,Qusayy,,,,,4,_____ ___ ___ ___ __ ____ __ ____ __ _____ __ _____,Quraysh,Makhzum,,,,,5,6,,,,,
1956,NQ368,___ ___ __ ___ __ ____ __ ___ ____ __ ___,Quraysh,Adi b. Ka'b,,,,,4,_____ ___ ___ ___ __ ____ __ ____ __ _____ __ _____,Quraysh,Makhzum,,,,,5,,1,,,,
1745,NQ334,____ __ ____ __ ___ ____ __ ___ __ _____,Quraysh,Makhzum,,,,,4,___ ___ ____ __ ____ __ ___ ____ __ ___ __ _____,Quraysh,Makhzum,,,,,5,1,,,,,
1658,NQ312,____ __ ____ __ (___ ___ __ ___ ___ __ ___ __ __ ___ __ ____ __ ___ __ ____ __ ___ __ ____),Quraysh,Amir b. Lu'ayy,,,,,4,_______ ___ ___ ___ __ ____ __ _______,Quraysh,Makhzum,,,,,6,,,,,,
1685,NQ317,______ __ _______,Quraysh,Makhzum,,,,,4,__ _____ ___ ___ ____ __ ___ __ _____,Quraysh,Makhzum,,,,,,,,,,,
1717,NQ329,______ __ ______ __ _______,Quraysh,Makhzum,,,,,5,____ ___ _______,Quraysh,Makhzum,,,,,4,1,,,,,
1095,NQ174,____ __ ______ __ ____,Quraysh,Qusayy,Umayyad,,,,5,____ ___ _______ __ ___ ____ __ ___ __ _____,Quraysh,Makhzum,,,,,4,4,,,,,
1803,NQ346,____ __ ___ __ ____ __ ____ __ _____ __ _____,Quraysh,Makhzum,,,,,5,_____ ___ _____ __ ___ ____ __ ___ __ _____,Quraysh,Makhzum,,,,,4,2,,,,,
1096,NQ174,____ __ ______ __ ____,Quraysh,Qusayy,Umayyad,,,,5,___ ___ _______ __ ___ ____ __ ___ __ _____,Quraysh,Makhzum,,,,,4,2,1,,,,
1675,NQ316,____ _____,Quraysh,Qusayy,Hashim,,,,5,__ ____ ___ ___ ____ __ _______,Quraysh,Makhzum,,,,,5,,,,,,
1578,NQ301,______ __ ____ __ ___ _____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,5,_____ ___ ____ __ _______ __ ___ ____ __ ___ __ _____ __ ____ __ ___ __ ___ __ ___ __ ____ __ ___,Quraysh,Makhzum,,,,,5,1,,,,,
1797,NQ345,___ __ ___ ___ __ ____ __ ____ __ _____ __ _____,Quraysh,Makhzum,,,,,5,_____ ___ ______ __ _____ __ ____ __ _____ __ _____,Quraysh,Makhzum,,,,,5,1,,,,,
1584,NQ303,______ __ ____ __ _______ __ ___ ____ __ ___ __ _____ __ ____ __ ___ __ ___ __ ___ __ ____ __ ___,Quraysh,Makhzum,,,,,5,_____ ___ ______ __ _______,Quraysh,Makhzum,,,,,5,1,1,,,,
1727,NQ330,_____ __ ______ __ _______,Quraysh,Makhzum,,,,,5,_____ ___ ____ __ _______,Quraysh,Makhzum,,,,,5,1,,,,,
1263,NQ221,____ __ ______ __ ______ __ ___ __ ___ _____ __ ____,Quraysh,Qusayy,Asad,,,,5,_____ ______ ___ ___ ____ __ _______,Quraysh,Makhzum,,,,,5,3,,,,,
1659,NQ312,______ __ ___ ___ __ _______ __ ___ ____ __ ____ __ _____,Quraysh,Makhzum,,,,,5,_____ ___ ___ ___ __ ____ __ _______,Quraysh,Makhzum,,,,,6,,1,,,,
1732,NQ332,______ __ ___ ___ __ _______ __ ___ ____ __ ____ __ _____,Quraysh,Makhzum,,,,,5,__ ____ ___ ___ ___ __ ____ __ _______  (__ _______ __ ___ __ _____),Quraysh,Makhzum,,,,,6,,1,,,,
1662,NQ312,___ __ ___ ____,Quraysh,Qusayy,Hashim,Alid,,,5,______ ___ ___ ___ __ ____ __ _______  (__ _______ __ ___ __ _____),Quraysh,Makhzum,,,,,6,,,,,,
850,NQ133,___ ____ __ _____ __ _______,Quraysh,Makhzum (though see note),,,,,5,__ ____ ___ ___ ______ __ ______ __ ____ (__ _______),Quraysh,Makhzum,,,,,7,Sons,,,,,
1756,NQ337,___ ____ __ ___ _____ __ ____ __ ___ ____ __ ___ __ _____,Quraysh,Makhzum,,,,,5,__ ____/____ ___ ___ ____,Quraysh,Makhzum,,,,,,2,2,,,,
1677,NQ316,___ ______ __ ___ ___,Quraysh,Taym b. Murra,,,,,6,_____ ______ ___ ___ ____ __ _______,Quraysh,Makhzum,,,,,5,1,1,,,,
1487,NQ278,___ ______ __ ___ ___ ______ __ ___ _____ __ ____ __ ____ __ ___ __ ___ __ ___ __ ___,Quraysh,Taym b. Murra,,,,,6,_____ ______ ___ ___ ____ __ _______,Quraysh,Makhzum,,,,,5,1,,,,,
1587,NQ303,____ __ ____ __ ______,Quraysh,Qusayy,Umayyad,,,,6,__ ____ ___ ______ __ ____ __ _______ __ ___ ____ __ ___ __ _____ __ ____ __ ___ __ ___ __ ___ __ ____ __ ___,Quraysh,Makhzum,,,,,6,,,,,,
1586,NQ303,_____ __ ___ ___ __ ____ __ _______ __ ___ ____ __ ___ __ _____ __ ____ __ ___ __ ___ __ ___ __ ____ __ ___,Quraysh,Makhzum,,,,,6,__ ____ ___ ______ __ ____ __ _______ __ ___ ____ __ ___ __ _____ __ ____ __ ___ __ ___ __ ___ __ ____ __ ___,Quraysh,Makhzum,,,,,6,,,,,,
1843,NQ349,___ __ ______ __ ____ __ ___ _____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___ __ ___ __ ____ __ ___,Quraysh,Adi b. Ka'b,,,,,6,__ ____ ___ ______ __ ____ __ _______ __ ___ ____ __ ___ __ _____ __ ____ __ ___ __ ___ __ ___ __ ____ __ ___,Quraysh,Makhzum,,,,,6,,1,,,,
1660,NQ312,_____ __ ____,Quraysh,Qusayy,Umayyad,Uthmanid,,,6,__ ___ ____ ___ ______ __ ___ ___ __ _______ __ ___ ____ __ ____ __ _____,Quraysh,Makhzum,,,,,6,2,,,,,
1135,NQ187,____ __ ____ __ ___ _____ __ ____ __ ___ ___,Quraysh,Qusayy,Umayyad,,,,6,______ ___ ___ ___ __ ____ __ _______  (__ _______ __ ___ __ _____),Quraysh,Makhzum,,,,,6,1,,,,,
1265,NQ222,___ ____ __ ____ __ ______ __ ______ __ ___ __ ___ _____ __ ____,Quraysh,Qusayy,Asad,,,,6,____ ___ ___ ____ __ ___ _____ (__ ____ __ ___ ____ __ ___ __ _____),Quraysh,Makhzum,,,,,6,1,,,,,
1663,NQ312,___ ____ __ ______ __ ____ (__ _______),Quraysh,Makhzum,,,,,6,____ ___ ___ ___ __ ____ __ _______  (__ _______ __ ___ __ _____),Quraysh,Makhzum,,,,,6,,1,,,,
2119,NQ400,____ __ ____ __ ____ __ ______ __ _____ __ ___ __ ___,Quraysh,Jumah,,,,,6,_____ ___ ___ ____ __ _____ __ _______,Quraysh,Makhzum,,,,,6,1,,,,,
964,NQ156,___ ______ __ ____ ____ __ ____,Quraysh,Qusayy,,,,,6,_____ ___ _____ __ ___ ___ __ ____,Quraysh,Makhzum,,,,,6,1,,,,,
1690,NQ318,___ ______ __ ___ ____ __ ___ _____ __ _______ __ ___ ____ __ ___ __ _____,Quraysh,Makhzum,,,,,6,_____ ___ ______ __ ___ ___ __ _______ __ ___ ____ __ ____ __ _____,Quraysh,Makhzum,,,,,6,2,,,,,
1600,NQ306,______ __ ___ ____ __ ___ _____,Quraysh,Makhzum,,,,,6,__ ____ ___ ___ ______ __ ______ __ ____ (__ _______),Quraysh,Makhzum,,,,,7,,,,,,
1986,NQ374,______ __ ___ ____ __ _____ __ ____  (__ ____ __ ___ ____ __ ____ __ ____ __ ___ __ ___),Quraysh,Adi b. Ka'b,,,,,6,___ ____ ___ ______ __ ______ __ ____ __ ____ __ ___ ____ __ ___ __ _____,Quraysh,Makhzum,,,,,7,1,,,,,
1601,NQ306,____ __ ______,Quraysh,Makhzum,,,,,6,__ ____ ___ ___ ______ __ ______ __ ____ (__ _______),Quraysh,Makhzum,,,,,7,,,,,,
1619,NQ307,____ __ ___ ____ __ ______,Quraysh,Qusayy,Zubayrid,,,,6,____ ___ ___ ______ __ ______ __ ____ (__ _______),Quraysh,Makhzum,,,,,7,,,,,,
1329,NQ243,___ ____ __ ______ __ ______ __ _____ __ ___ __ ___ _____ __ ____,Quraysh,Qusayy,Asad,Zubayrid,,,6,_____ ___ ___ ______ __ ______ __ ____ (__ _______),Quraysh,Makhzum,,,,,7,2,,,,,
1618,NQ307,___ ____ __ ______,Quraysh,Qusayy,Zubayrid,,,,6,____ ___ ___ ______ __ ______ __ ____ (__ _______),Quraysh,Makhzum,,,,,7,,,,,,
1080,NQ172,____ __ _____ __ ___ ______,Quraysh,Qusayy,Umayyad,,,,6,____ ___ ___ ______ __ ______ __ ____,Quraysh,Makhzum,,,,,7,1,1,,,,
1518,NQ285,_____ __ _____ __ ___ ______ __ ____,Quraysh,Qusayy,Umayyad,Marwanid,,,6,____ ___ ___ __ ___ ____ __ ___ _____ (__ ____ __ ___ ____ __ ___ __ _____),Quraysh,Makhzum,,,,,7,1,1,,,,
1603,NQ306,____ __ ____ __ ____ ____ __ _____ __ ____ __ ___ __ ___ __ ___,Quraysh,Taym b. Murra,,,,,6,____ ___ ___ ______ __ ______ __ ____ (__ _______),Quraysh,Makhzum,,,,,7,,,,,,
1607,NQ306,___ ____ __ ___ ____ __ ___ ____ (__ _______ __ ___ ____ __ ____ __ _____),Quraysh,Makhzum,,,,,6,_____ ___ ___ ______ __ ______ __ ____ (__ _______),Quraysh,Makhzum,,,,,7,,,,,,
1610,NQ306,___ ____ __ ___ ____ __ ___ __ _______,Quraysh,Makhzum,,,,,6,_____ ___ ___ ______ __ ______ __ ____ (__ _______),Quraysh,Makhzum,,,,,7,,,,,,
1609,NQ306,______ __ ___ _____,Quraysh,Qusayy,Umayyad,Sufyanid,,,6,_____ ___ ___ ______ __ ______ __ ____ (__ _______),Quraysh,Makhzum,,,,,7,,,,,,
1680,NQ316,___ ______ __ ______ __ ____,Quraysh,Makhzum,,,,,6,_____ ___ ___ ____ __ ___ ____ __ ___ ____ __ _______,Quraysh,Makhzum,,,,,7,,,,,,
1664,NQ312,____ __ ______ __ ____ __ _______,Quraysh,Makhzum,,,,,6,_____ ___ ___ ____ __ ______ __ ____ (__ _______),Quraysh,Makhzum,,,,,7,1,,,,,
1620,NQ307,_____ __ ____ __ ______ __ _______,Quraysh,Makhzum,,,,,6,_____ ___ ___ ______ __ ______ __ ____ (__ _______),Quraysh,Makhzum,,,,,7,,,,,,
1340,NQ248,____ __ ______ __ ______ __ _____ __ ___ __ ___ _____ __ ____,Quraysh,Qusayy,Asad,Zubayrid,,,6,_____ ___ ____ __ ___ __ ___ ____ __ ___ _____ (__ ____ __ ___ ____ __ ___ __ _____),Quraysh,Makhzum,,,,,8,1,,,,,
1627,NQ309,___ ___ __ ___ ______ __ ______ __ ____ __ _______ __ ___ ____ __ ___ __ _____ __ ____ __ ___ __ ___ __ ___ __ ____ __ ___,Quraysh,Makhzum,,,,,7,____ ___ ____ __ ______ __ _______,Quraysh,Makhzum,,,,,6,3,,,,,
1614,NQ307,____ __ ___ ____ __ ______,Quraysh,Qusayy,Zubayrid,,,,7,__ ______ ___ ___ ______ __ ______ __ ____ (__ _______),Quraysh,Makhzum,,,,,7,,,,,,
846,NQ133,______ __ ____ __ ___ _____,Quraysh,Qusayy,Umayyad,Sufyanid,,,7,__ ____ ___ ___ ______ __ ______ __ ____ (__ _______),Quraysh,Makhzum,,,,,7,1,2,,,,
1598,NQ306,___ ____ __ ______ __ ___ _____,Quraysh,Qusayy,Umayyad,Sufyanid,,,7,__ ____ ___ ___ ______ __ ______ __ ____ (__ _______),Quraysh,Makhzum,,,,,7,,,,,,
1612,NQ307,____ __ _____ __ ____,Quraysh,Qusayy,Umayyad,Uthmanid,,,7,__ ____ ___ ___ ______ __ ______ __ ____ (__ _______),Quraysh,Makhzum,,,,,7,,,,,,
1622,NQ308,____ __ ______ __ ____ __ ______ (__ ____),Quraysh,Qusayy,Umayyad,,,,7,__ ____ ___ ___ ______ __ ______ __ ____ (__ _______),Quraysh,Makhzum,,,,,7,,,,,,
1623,NQ308,___ ____ __ ___ ______ __ ______ __ ___ ___ __ _______,Quraysh,Makhzum,,,,,7,__ ____ ___ ___ ______ __ ______ __ ____ (__ _______),Quraysh,Makhzum,,,,,7,,,,,,
1533,NQ287,_______ __ ____ __ ____ __ ____ ____ ,Quraysh,Taym b. Murra,,,,,7,__ _____ ___ ___ ______ __ ___ ____ __ ___ _____,Quraysh,Makhzum,,,,,7,,1,,,,
1602,NQ306,___ ____ __ ___ ______ __ ______ __ ___ ___ __ _______,Quraysh,Makhzum,,,,,7,__ ____ ___ ___ ______ __ ______ __ ____ (__ _______),Quraysh,Makhzum,,,,,7,,,,,,
1605,NQ306,___ ______ __ ___ ____ __ ___ ____ __ ___ __ _______,Quraysh,Makhzum,,,,,7,____ ___ ___ ______ __ ______ __ ____ (__ _______),Quraysh,Makhzum,,,,,7,,,,,,
1604,NQ306,____ __ _______ __ ____ __ ______ __ _______,Quraysh,Makhzum,,,,,7,____ ___ ___ ______ __ ______ __ ____ (__ _______),Quraysh,Makhzum,,,,,7,,,,,,
1616,NQ307,____ __ _____ __ _____,Quraysh,Qusayy,Umayyad,Marwanid,,,7,____ ___ ___ ______ __ ______ __ ____ (__ _______),Quraysh,Makhzum,,,,,7,,,,,,
1517,NQ285,_______ __ ____ __ ____ __ ____ ____,Quraysh,Taym b. Murra,,,,,7,____ ___ ___ __ ___ ____ __ ___ _____ (__ ____ __ ___ ____ __ ___ __ _____),Quraysh,Makhzum,,,,,7,1,,,,,
1326,NQ242,____ __ ___ ____ __ ______ __ ______ __ _____ __ ___ __ ___ _____ __ ____,Quraysh,Qusayy,Asad,Zubayrid,,,7,_____ ___ ___ ______ __ ______ __ ____ (__ _______),Quraysh,Makhzum,,,,,7,1,,,,,
1624,NQ308,____ __ ___ ____ __ ___ ____ __ ____ __ _______,Quraysh,Makhzum,,,,,7,_____ ___ ___ ______ __ ______ __ ____ (__ _______),Quraysh,Makhzum,,,,,7,,,,,,
754,NQ121,______ __ _____ __ ____,Quraysh,Qusayy,Umayyad,Uthmanid,,,7,_____ ___ ______ __ _____ __ ___ _____ __ ____ __ ___ ____ __ ____ __ _____,Quraysh,Makhzum,,,,,7,,1,,,,
1009,NQ165,___ _____ __ _____ __ _____ __ ___ ______ __ ____,Quraysh,Qusayy,Umayyad,Marwanid,,,7,__ _______ ___ _______ __ ____ __ ______ __ ____ __ _______,Quraysh,Makhzum,,,,,8,,1,,,,
1004,NQ164,___ _____ __ _____ __ _____ __ ___ ______ __ ____,Quraysh,Qusayy,Umayyad,Marwanid,,,7,__ ____ ___ ____ __ _______ __ ____ __ ______ __ _______,Quraysh,Makhzum,,,,,8,1,,,,,
1638,NQ310,____ __ ____ __ ____ __ ____ ____,Quraysh,Taym b. Murra,,,,,7,_____ ___ _______ __ ___ ______ __ ______,Quraysh,Makhzum,,,,,8,,,,,,
1647,NQ310,_______ __ ___ ______ __ ______,Quraysh,Makhzum,,,,,7,_____ ___ ____ __ ___ ____ __ ___ ____ __ ___ ____ __ _______,Quraysh,Makhzum,,,,,8,,1,,,,
1696,NQ319,______ __ _______ __ ____ __ ___ _____ __ _______ __ ___ ____ __ ___ __ _____,Quraysh,Makhzum,,,,,7,____ ___ ___ ____ __ ___ _____,Quraysh,Makhzum,,,,,,1,,,,,
1608,NQ306,___ ____ __ ____ __ _____ __ ____,Quraysh,Qusayy,Umayyad,Uthmanid,,,8,_____ ___ ___ ______ __ ______ __ ____ (__ _______),Quraysh,Makhzum,,,,,7,,,,,,
1613,NQ307,___ ___ __ ____ ____ __ ___ __ ______,Quraysh,Adi b. Ka'b,,,,,8,__ _____ ___ ___ ______ __ ______ __ ____ (__ _______),Quraysh,Makhzum,,,,,7,,,,,,
1891,NQ360,____ __ ___ ____ __ ___ __ ______ __ ____ __ ___ _____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___ __ ___ __ ____ __ ___,Quraysh,Adi b. Ka'b,,,,,8,___ ____ ___ ___ ____ __ ____ __ ___ _____,Quraysh,Makhzum,,,,,7,1,,,,,
709,NQ117,_____ __ _______ __ ____ __ ____ __ ____ ____,Quraysh,Taym b. Murra,,,,,8,_____ ___ ____ __ ___ __ ___ ____ __ ___ _____ (__ ____ __ ___ ____ __ ___ __ _____),Quraysh,Makhzum,,,,,8,,1,,,,
1631,NQ309,____ __ ___ __ ___ ______ __ ______ __ ____ __ _______ __ ___ ____ __ ___ __ _____ __ ____ __ ___ __ ___ __ ___ __ ____ __ ___,Quraysh,Makhzum,,,,,8,__ ____ ___ _____ __ ___ ______ __ ______ __ ____,Quraysh,Makhzum,,,,,8,,1,,,,
744,NQ120,___ ______ __ ____ __ _____ __ ____,Quraysh,Qusayy,Umayyad,Uthmanid,,,8,_____ ___ ____ __ ___ ______ __ ______ __ ____ __ _______,Quraysh,Makhzum,,,,,8,1,1,,,,
336,NQ56,_______ __ _____ __ _____ __ ___,Quraysh,Qusayy,Hashim,Alid,Hasanid,,8,_____ ___ ____ __ ___ ____ __ ___ ____ __ ___ ____ __ _______,Quraysh,Makhzum,,,,,8,3,,,,,
1641,NQ310,____ __ ______ __ ___ __ ___ ____ __ ______,Quraysh,Qusayy,Hashim,Abbasid,,,8,_____ ___ _______ __ ___ ______ __ ______,Quraysh,Makhzum,,,,,8,,,,,,
1639,NQ310,___ ____ __ _____ __ ___ ______,Quraysh,Makhzum,,,,,8,_____ ___ _______ __ ___ ______ __ ______,Quraysh,Makhzum,,,,,8,,,,,,
1645,NQ310,____ __ ___ _____ __ _____,Quraysh,Qusayy,Umayyad,Marwanid,,,8,_____ ___ _______ __ ___ ______ __ ______,Quraysh,Makhzum,,,,,8,,,,,,
1668,NQ315,____ __ ___ __ ___ ____ __ ______,Quraysh,Qusayy,Hashim,Abbasid,,,8,____ ___ ___ ______ __ ______ __ ____ __ ______ __ ____ __ _______,Quraysh,Makhzum,,,,,9,,,,,,
310,NQ53,___ ____ __ _____ __ _____ __ ___,Quraysh,Qusayy,Hashim,Alid,Hasanid,,8,_____ ___ ___ _____ __ ______ __ ____ __ ______ __ ____ __ _______ __ ___ ____ __ ___ __ _____,Quraysh,Makhzum,,,,,9,3,,,,,
1724,NQ330,___ ____ __ ____ __ ___ __ ___ ____ __ ____,Quraysh,Qusayy,Hashim,Abbasid,,,8,_____ __ ____ __ ___ ____ __ ______ __ ______ __ _______,Quraysh,Makhzum,,,,,9,1,1,,,,
495,NQ78,____ __ ______ __ ____ __ ___,Quraysh,Qusayy,Hashim,Alid,,,8,____ ______ __ ___ ____ __ ______ __ ___ ____ __ ______ __ ____,Quraysh,Makhzum,,,,,,,1,,,,
703,NQ116,____ __ ___ ____ __ ____ __ _____ __ ____,Quraysh,Qusayy,Umayyad,Uthmanid,,,9,__ ____ ___ _______ __ ___ ______ __ ___ ____ __ ___ _____ __ _______,Quraysh,Makhzum,,,,,8,1,,,,,
1642,NQ310,_____ __ ___ ___ __ ___ ______ __ _____ __ _____,Quraysh,Qusayy,Umayyad,Marwanid,,,9,___ ______ ___ _______ __ ___ ______ __ ______,Quraysh,Makhzum,,,,,8,,,,,,
1640,NQ310,___ ______ __ ___ ____ __ ___ ____ __ ___ __ ______,Quraysh,Adi b. Ka'b,,,,,9,_____ ___ _______ __ ___ ______ __ ______,Quraysh,Makhzum,,,,,8,,,,,,
1646,NQ310,____ __ ____ __ ___ ____ __ ___ ______ __ ___ ___,Quraysh,Taym b. Murra,,,,,9,_____ ___ _______ __ ___ ______ __ ______,Quraysh,Makhzum,,,,,8,,,,,,
1700,NQ319,___ ______ __ ______ __ _______ __ ____ __ ___ _____ __ _______ __ ___ ____ __ ___ __ _____,Quraysh,Makhzum,,,,,9,_____ ___ ____ __ ___ __ ___ ____ __ ___ _____,Quraysh,Makhzum,,,,,8,2,,,,,
1633,NQ309,______ __ ____ __ ___ _____ __ _____,Quraysh,Qusayy,Umayyad,Marwanid,,,9,__ ____ ___ ____ __ ___ __ ___ ______ __ ______ __ ____ __ _______ __ ___ ____ __ ___ __ _____ __ ____ __ ___ __ ___ __ ___ __ ____ __ ___,Quraysh,Makhzum,,,,,9,,,,,,
1877,NQ358,___ ______ __ ___ ____ __ ___ ____ __ ___ __ ______ __ ____ __ ___ _____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___ __ ___ __ ____ __ ___,Quraysh,Adi b. Ka'b,,,,,9,___ ______ ___ ____ __ ___ ____ __ ____ __ _____ __ ___ ____ __ _______ __ ___ ____ __ ___ __ _____,Quraysh,Makhzum,,,,,9,1,,,,,
1723,NQ330,_____ __ ____ __ ___ _____,Quraysh,Qusayy,Umayyad,Marwanid,,,9,_____ __ ____ __ ___ ____ __ ______ __ ______ __ _______,Quraysh,Makhzum,,,,,9,,,,,,
432,NQ71,____ __ ___ __ ___ __ ____ __ ___,Quraysh,Qusayy,Hashim,Alid,Husaynid,,9,_____ ___ ___ __ ___ __ ___ __ ____ __ ____ __ ____ __ _____ __ ___ ____ __ ___ __ _____,Quraysh,Makhzum,,,,,10,3,1,,,,
1648,NQ310,_____ __ ____ __ ___ ____ __ ____ __ _____ __ ____,Quraysh,Qusayy,Umayyad,Uthmanid,,,10,____ ___ _______ __ ___ ______ __ ______,Quraysh,Makhzum,,,,,8,,,,,,
1649,NQ310,___ _____ __ ___ ______ __ ______,Quraysh,Qusayy,Umayyad,Marwanid,,,10,_____ ___ _______ __ ___ ______ __ ______,Quraysh,Makhzum,,,,,8,,,,,,
381,NQ63,_______ __ ____ __ ____ __ ___ __ ______ __ ___,Quraysh,Qusayy,Hashim,Alid,Husaynid,,10,__ _______ ___ _______ __ ____ __ _______ __ ____ __ ______ __ _______,Quraysh,Makhzum,,,,,9,1,1,,,,
2120,NQ400,___ ____ __ ___ ______ __ ___ __ ___ ____ __ ____ __ ____ __ ____ __ ______ __ _____ __ ___ __ ___,Quraysh,Jumah,,,,,10,___ ____ __ ___ ____ __ ____,Quraysh,Makhzum,,,,,9,1,,,,,
1808,NQ346,___ ___ __ ______,Khuza'a,,,,,,,____ ___ _____ __ _____,Quraysh,Makhzum,,,,,2,,,,,,
1766,NQ339,____ __ ______ (__ ___ ____ __ _____ __ ____ __ _____ __ ___ __ ______ Ibn Sa'd 371),Qays Aylan,Hawazin,,,,,,____ ___ _______ __ ___ ____ __ ___ __ _____,Quraysh,Makhzum,,,,,4,1,,,,,
1643,NQ310,______ __ ____,Thaqif,,,,,,,__ ______ ___ _______ __ ___ ______ __ ______,Quraysh,Makhzum,,,,,8,,,,,,
1635,NQ310,____ __ ______ __ ____,Thaqif,,,,,,,__ ____ ___ ____ __ ___ ______ __ ______,Quraysh,Makhzum,,,,,8,,,,,,
1632,NQ309,___ _____ __ ______ __ ____,Thaqif,,,,,,,__ ____ ___ ____ __ ___ __ ___ ______ __ ______ __ ____ __ _______ __ ___ ____ __ ___ __ _____ __ ____ __ ___ __ ___ __ ___ __ ____ __ ___,Quraysh,Makhzum,,,,,9,,,,,,
2309,NQ434,____ __ ___ __ ____ __ ____ __ ___ __ ____ __ ____ __ ___,Quraysh,Amir b. Lu'ayy,,,,,3,___ _____ __ ____ __ ____ __ ____ __ _____ __ _____ ( __ ___ __ ____),Quraysh,Muharib b. Fihr,,,,,1,3,,,,,
1861,NQ357,___ ____ __ ___ __ ______ __ ____ __ ___ _____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___ __ ___ __ ____ __ ___,Quraysh,Adi b. Ka'b,,,,,7,__ _____ ___ _____ __ ___ _____ __ ___,Quraysh,Muharib b. Fihr,,,,,,1,,,,,
2352,NQ443,___ _____ __ _____ __ _____ __ _____ __ ______ __ ___,Quraysh,Harith b. Fihr,,,,,-1,_____ ___ ___ ____ __ ___,Quraysh,Qusayy,,,,,2,4,,,,,
90,NQ19,___ __ ____ __ ____ __ ____ __ ___ __ ____ __ ___ __ _____ __ ___ __ _____,Asad b. Khuzayma ,,,,,,-1,_____ ___ ___ ______,Quraysh,Qusayy,Hashim,,,,4,3,3,,,,
2353,NQ444,___ _____ __ ___ _____ __ _____ __ _____ __ _____ __ ______ __ ___,Quraysh,Harith b. Fihr,,,,,0,_____ ___ ___ ____ __ ___ ____,Quraysh,Qusayy,,,,,3,5,3,,,,
1568,NQ299,___ __ _____ __ ____ __ ___ __ ___ __ ___ __ ____ __ ___,Quraysh,Makhzum,,,,,1,___ ___ ___ __ ____ __ ___,Quraysh,Qusayy,,,,,1,3,,,,,
1781,NQ343,_____ __ _____,Quraysh,Makhzum,,,,,1,___ ___ ___ __ ____ __ ___,Quraysh,Qusayy,,,,,1,2,,,,,
2162,NQ406,____ __ ___,Quraysh,Sahm,,,,,1,_____ ___ ___ _____ __ ___,Quraysh,Qusayy,,,,,2,,1,,,,
61,NQ17,___ ____ __ ____ __ ____,Quraysh,Zuhra,,,,,1,_____ ___ ____ __ ___ ____,Quraysh,Qusayy,Hashim,,,,3,2,,,,,
2126,NQ401,___ __ ___ __ ___ __ ____ __ ____ __ ___ __ ___ __ ____,Quraysh,Sahm,,,,,2,___ ___ ___ _____ __ ___,Quraysh,Qusayy,Abd al-Dar,,,,2,2,,,,,
1782,NQ343,___ __ _____ __ _____,Quraysh,Makhzum,,,,,2,____ ___ ___ __ ___,Quraysh,Qusayy,,,,,2,3,4,,,,
1749,NQ334,___ _____ __ ___ __ _____,Quraysh,Makhzum,,,,,2,___ ___ ___ __ ___ __ ____,Quraysh,Qusayy,,,,,2,,1,,,,
1220,NQ207,___ __ ___ _____ __ ____,Quraysh,Qusayy,Asad,,,,2,_____/___ _______ ___ ____ __ ___ ____ __ ___,Quraysh,Qusayy,Hashim,,,,3,3,1,,,,
69,NQ17,____ __ ___ ____ __ ____ (__ ____),Quraysh,Zuhra,,,,,2,______ ___ ______ __ ___ ____ __ ____,Quraysh,Qusayy,,,,,3,,1,,,,
